customer_id,first_purchase,last_purchase,frequency,monetary,avg_order_value,recency,customer_life_cycle,purchase_frequency_monthly,gender,age,member_level,registration_date,retention_rate,clv,acquisition_cost,retention_cost,clv_cac_ratio,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,Cluster,Cluster_Name
C001,2023-01-24,2023-03-03,2,341054.80416630977,170527.40208315488,59,38,1.5789473684210527,Male,64,Bronze,2022-12-04,0.7,571242.6346050496,100,34105.48041663098,5712.426346050496,2,2,5,3.2,有增长潜力客户,2,金牌客户
C002,2023-01-09,2023-03-05,5,204263.33138496737,40852.66627699348,57,55,2.7272727272727275,Female,68,Bronze,2022-12-26,0.7,274201.3272372169,100,20426.33313849674,2742.0132723721686,2,5,4,3.7,有增长潜力客户,2,金牌客户
C003,2023-01-28,2023-04-02,4,524593.6299983314,131148.40749958286,29,64,1.875,Male,61,Bronze,2022-05-09,0.7,649563.7166473488,100,52459.362999833145,6495.637166473488,5,4,5,4.7,高价值客户,2,金牌客户
C004,2023-03-11,2023-03-11,1,65043.623381251644,65043.623381251644,51,0,1.0,Male,69,Bronze,2022-09-24,0.7,127512.22795733126,100,6504.362338125165,1275.1222795733127,3,1,2,2.0,流失风险客户,3,银牌客户
C005,2023-03-16,2023-03-16,1,171376.5739010357,171376.5739010357,46,0,1.0,Male,20,Bronze,2022-05-31,0.7,336131.98214245227,100,17137.65739010357,3361.3198214245226,3,1,3,2.4000000000000004,一般价值客户,1,铜牌客户
C006,2023-01-12,2023-03-25,5,227444.04101475884,45488.80820295177,37,72,2.0833333333333335,Female,54,Gold,2022-10-25,0.9,577874.5443075006,100,22744.404101475884,5778.745443075006,4,5,4,4.300000000000001,高价值客户,2,金牌客户
C007,2023-01-06,2023-04-06,2,125049.5850909517,62524.79254547585,25,90,0.6666666666666666,Male,68,Bronze,2022-04-09,0.7,131700.10871480498,100,12504.958509095171,1317.00108714805,5,2,3,3.3000000000000003,有增长潜力客户,3,银牌客户
C008,2023-01-31,2023-01-31,1,45887.932206630394,45887.932206630394,90,0,1.0,Male,24,Bronze,2022-09-20,0.7,89929.75173936866,100,4588.793220663039,899.2975173936866,1,1,1,1.0,流失风险客户,1,铜牌客户
C009,2023-02-02,2023-03-24,2,60043.27242492971,30021.636212464855,38,50,1.2,Male,38,Silver,2022-09-09,0.8,118608.5956448325,100,6004.327242492971,1186.085956448325,4,2,1,2.1999999999999997,一般价值客户,3,银牌客户
C011,2023-01-19,2023-03-20,3,229244.77025933657,76414.92341977886,42,60,1.5,Male,56,Gold,2022-12-12,0.9,671451.237120325,100,22924.47702593366,6714.51237120325,4,4,4,4.0,有增长潜力客户,2,金牌客户
C012,2023-02-15,2023-02-15,1,43734.6654151868,43734.6654151868,75,0,1.0,Male,35,Bronze,2022-04-22,0.7,85705.15356420218,100,4373.46654151868,857.0515356420218,2,1,1,1.2999999999999998,流失风险客户,1,铜牌客户
C013,2023-01-04,2023-01-26,2,166063.697309528,83031.848654764,95,22,2.7272727272727275,Male,21,Platinum,2022-03-01,0.95,1782864.848785348,100,16606.369730952803,17828.64848785348,1,3,3,2.4000000000000004,一般价值客户,0,钻石客户
